4,3028
5,2863
6,5335
7,8230
8,10575
9,33130
10,19540
11,25962
12,6023
13,49599
14,109552
15,99548
16,15569
17,123311
18,182545
19,147251
20,37391
21,32297
22,329074
23,246676
24,76367
25,463297
26,404035
27,418185
28,48538
29,238078
30,437271
4,3000
5,2274
6,2393
7,21210
8,25228
9,10085
10,19943
11,31727
12,16528
13,15978
14,160543
15,46471
16,29508
17,92153
18,21729
19,16806
20,448447
21,53739
22,108737
23,94367
24,193136
25,70437
26,83124
27,30901
28,64525
4,3232
5,4088
6,6631
7,8838
8,3977
9,8709
10,16141
11,24352
12,15877
13,56564
14,85648
15,24857
16,54179
17,55328
18,35834
19,194233
20,49849
