292,3,57335145
123,3,647726
539,10,4483208
747,10,3246238
276,7,2092525
959,11,3423563
963,5,818497
537,10,2571213
140,9,2717364
932,9,1081102
216,4,303440
48,4,656695
151,10,2211796
852,7,1083624
972,11,2047942
864,6,1024489
361,3,185461
623,5,479060
431,8,594531
341,10,795163
882,10,779337
211,3,94262
752,9,550001
644,5,205134
36,11,1890612
586,9,572824
683,3,70745
362,2,51266
122,5,159781
177,5,138472
954,8,374765
281,7,383487
930,11,961606
997,5,234006
159,11,554179
541,7,239329
89,3,52147
901,11,621038
341,3,54769
1008,6,215021
947,5,137598
733,5,188434
619,8,284703
27,11,43290664
209,9,824234
319,6,415560
634,6,465376
158,8,875963
234,8,1311357
473,8,2533849
620,5,328237
13,11,9140461
189,11,1397793
163,11,2653817
869,6,1099084
443,3,105768
395,11,1139801
991,7,634600
532,10,778127
751,5,395592
119,3,53079
578,6,405856
80,11,1048448
683,8,750091
151,9,722207
639,2,33195
284,7,445486
649,3,96501
202,7,486245
176,3,96710
853,7,425503
263,3,72766
233,9,546676
222,10,857020
600,6,315324
522,6,305513
176,6,260111
630,4,110625
159,4,167917
371,9,563981
419,8,509111
780,10,771948
690,10,1371596
327,3,89016
51,8,1449528
48,7,365250
1000,10,772580
168,6,3776076
89,6,407710
365,10,1169423
61,8,1324216
719,3,90797
895,2,35819
503,5,1222041
283,11,1028179
411,9,1975951
908,5,255340
386,6,399330
643,10,1033395
481,4,205537
134,10,2384840
575,3,102096
162,6,377847
628,6,345396
22,9,4930290
312,4,93471
895,2,12935
251,8,399712
161,3,48992
441,7,346635
145,3,52001
423,11,775856
332,10,580318
783,3,51770
82,8,397028
603,9,498130
549,10,497226
82,9,417498
432,7,401262
532,10,1563707
830,2,26239
508,2,34428
457,5,393688
409,8,537003
515,8,396294
16,9,2398349
156,3,303583
754,3,52971
496,10,746693
574,3,35561
700,10,717359
739,5,238025
77,8,576093
83,4,130737
318,7,384209
231,11,1613607
780,3,105998
747,9,655793
711,8,499795
566,5,227612
263,7,348378
609,5,197197
48,7,478503
713,2,25612
860,4,126823
75,2,4926
532,3,63585
843,3,54223
650,10,1620700
680,6,367915
638,3,88241
71,11,2720032
659,5,183447
483,3,61871
110,7,401074
718,10,854377
946,6,286902
1007,10,876402
178,9,390370
112,11,782402
572,2,4505
642,10,742828
590,8,553819
663,5,207672
145,9,643714
884,10,723931
926,4,122265
209,6,435939
297,8,418271
903,4,79259
369,5,155837
333,9,501571
272,10,594030
374,10,616322
525,8,453725
618,6,302126
364,6,254051
799,3,63039
879,9,744878
21,9,2096174
443,5,165556
155,5,209905
250,3,52827
745,7,395674
408,6,275544
403,2,19582
596,5,223035
398,3,74256
109,8,562481
466,2,19445
806,9,820316
12,4,85738
784,7,420761
967,3,106581
450,10,1446777
14,2,31491
287,5,290934
689,7,441805
357,2,30437
714,10,970378
85,6,406713
667,9,597809
260,9,473468
605,5,156422
653,2,13104
87,8,540024
40,2,11268
842,3,44882
179,4,111485
413,4,73796
84,4,143321
873,4,98847
688,2,13199
211,11,826434
427,9,564235
169,11,751903
668,5,214852
475,7,435428
212,5,197124
16,10,6568254
540,10,789367
34,2,12118
64,8,747342
799,8,351285
963,7,344528
844,6,290951
824,6,171990
136,9,491897
722,2,12020
515,10,610506
201,9,493522
593,9,576991
386,9,485828
951,4,107909
961,8,476435
929,5,188396
837,9,494479
277,4,97094
201,7,362695
680,6,295616
91,4,121571
594,11,728758
970,2,14416
128,2,12135
761,5,195944
463,10,671631
658,3,32176
280,8,471143
545,6,204326
724,6,261683
478,7,1208856
293,3,64524
150,7,319449
398,2,15479
399,2,17085
528,10,6484965
174,3,73310
498,3,51591
335,11,840136
117,5,191516
208,11,2057120
185,9,1054370
538,2,34095
576,3,49880
437,5,153137
453,5,190876
720,2,34451
839,11,805841
673,7,297155
792,10,617000
895,8,448741
604,9,399448
529,7,327776
537,6,184175
10,2,3595
58,9,1467595
732,7,280369
871,7,306887
654,6,209209
797,2,12577
444,8,352636
454,10,621696
738,5,210841
532,2,15893
476,2,11143
127,4,127633
508,11,779344
536,6,305337
841,7,301220
593,6,214404
48,7,305305
28,2,12373
706,7,316935
341,8,377247
634,5,151986
772,8,400355
257,10,620047
43,11,1658166
40,7,229868
800,7,338903
489,6,215302
743,10,486717
578,10,512219
704,4,92111
704,5,131156
792,10,645097
244,8,379741
942,4,91503
492,7,313460
325,9,511002
625,6,203972
417,9,438184
895,6,203893
736,9,499419
247,3,40800
430,5,126460
613,3,49705
836,2,13897
310,3,28882
751,7,281023
619,7,295438
657,4,93281
426,4,100600
910,4,105565
887,3,39681
1004,9,561925
671,5,151228
39,6,272435
492,8,421273
945,2,12398
346,10,571947
67,11,2509869
180,11,757340
531,2,12442
812,6,257387
330,8,368638
326,6,209478
680,11,782591
887,10,569092
685,2,10471
999,5,153494
247,4,85041
48,9,758889
396,8,407125
274,2,19682
811,3,67186
597,10,565995
739,9,392196
234,9,1079908
847,3,41182
951,3,49849
732,5,193323
941,5,155245
825,5,83889
870,8,313133
834,10,499597
856,7,217124
529,3,29482
625,5,109277
65,6,225303
319,8,345897
360,2,12580
389,3,47101
801,8,329632
987,5,124357
203,9,401522
611,6,163325
178,7,266981
675,2,10468
200,3,21524
76,3,41250
863,5,150053
230,2,12484
357,11,550463
774,3,55207
861,3,50455
93,3,47960
102,6,219612
278,4,94558
786,10,695041
459,11,598823
525,11,753933
596,9,453211
624,2,16316
118,9,1148520
441,5,163252
36,4,108173
65,8,379504
893,2,15611
282,2,14280
825,2,13570
738,2,12459
121,5,119877
760,10,653153
442,6,258093
922,8,452892
462,5,227655
1008,9,473217
399,9,552633
705,11,732557
689,8,455188
377,4,96424
115,9,462543
515,4,629429
553,3,123277
513,3,49425
913,6,249697
333,6,262985
551,6,240946
330,4,117979
976,7,342994
132,6,241084
879,3,56029
769,4,67459
616,7,375899
258,6,193925
711,6,197902
218,3,62417
68,8,1431132
947,8,414370
701,6,254248
655,6,390507
647,10,708617
465,10,534032
971,8,403069
40,2,24940
529,3,49614
821,7,300215
68,3,146977
986,6,254728
114,7,319954
975,8,537103
957,8,401257
50,10,1130521
467,4,93216
962,10,29962664
607,5,201256
881,7,312870
409,3,64753
859,9,585335
649,5,223449
463,8,398277
203,8,407501
857,3,93091
719,10,831118
929,6,233420
609,7,320394
932,3,57865
456,6,305921
420,9,560226
276,8,414652
591,11,809033
217,10,601868
801,7,345102
955,5,158879
479,11,1148137
965,3,34559
993,7,337898
737,10,683511
859,8,472040
326,8,435144
233,5,286610
697,11,672481
364,6,242712
586,4,112438
877,10,703007
997,4,109261
124,3,35903
96,7,281873
957,8,325316
279,6,208137
248,7,923182
914,3,53680
244,8,379547
592,3,60547
632,9,734694
35,3,49864
653,9,1526251
591,5,212300
91,10,1142001
512,4,557325
847,5,231978
607,4,112784
238,9,451835
736,2,18101
1000,9,480852
564,9,631410
163,11,684832
398,5,243036
931,8,520781
387,10,643896
252,3,40407
939,2,17914
76,2,14120
847,9,525720
471,2,13098
422,5,138699
463,7,301695
192,5,233159
512,7,316762
198,9,514434
974,6,315227
131,3,73016
844,8,944338
43,11,1791444
730,10,731339
231,6,269352
946,5,218419
346,11,1118062
47,8,690215
316,2,19355
178,5,172366
456,10,1280875
490,5,171275
491,6,240754
471,10,573920
308,3,69334
516,3,100887
914,6,305697
942,4,112480
167,10,617281
685,8,408861
55,7,737470
983,2,27302
1004,8,387776
515,5,191053
738,9,475510
408,4,89176
34,11,3826438
139,9,2125073
709,4,146113
727,8,410554
823,6,277873
684,2,10946
693,5,133917
878,6,229843
748,6,300698
289,7,808453
784,9,552057
646,9,827207
253,2,16619
389,7,448309
686,6,256365
191,10,1227279
111,11,952942
342,6,274306
377,3,84872
347,2,17038
570,2,15556
660,9,521230
303,10,955549
432,2,13179
63,7,338038
352,8,460773
620,8,382440
276,5,150421
425,10,863226
167,6,301525
779,7,293204
537,7,310882
61,4,272791
559,11,786533
236,9,583500
568,4,78153
259,9,519073
942,8,457432
156,2,11327
367,5,231965
276,7,258382
904,11,765867
114,10,616564
693,8,191157
356,8,346148
767,6,222788
381,2,10680
762,9,477349
15,6,209352
282,4,112395
873,9,182343
490,9,81302
29,4,15799
952,8,58011
433,4,16560
504,5,158990
871,8,331138
524,11,112858
875,7,55168
981,4,41580
537,4,9951
936,5,23198
273,9,72524
464,7,46710
480,8,59257
1004,8,56114
212,8,56974
764,8,56054
555,4,16293
21,3,9623
825,2,4905
343,9,101751
28,4,28033
464,4,14604
413,10,89896
119,10,93795
694,3,36390
214,2,9136
562,2,8019
437,3,13245
773,2,4719
303,11,152297
42,3,9567
803,6,42367
715,3,8905
714,8,80394
472,5,22946
